age,experience,gender,role,sector,company,department,education,salary
51,20,Female,Senior Developer,IT & Software,TechNova Systems,DevOps,B.Tech,766552
35,17,Female,Technical Lead,IT & Software,TechNova Systems,Finance,PhD,3000000
28,6,Female,DevOps Engineer,IT & Software,TechNova Systems,Testing,BCA,2143922
34,10,Male,Technical Lead,IT & Software,TechNova Systems,Finance,MBA,1964455
43,18,Male,HR Executive,IT & Software,TechNova Systems,HR,B.Tech,401278
41,16,Female,Senior Developer,IT & Software,TechNova Systems,DevOps,MCA,1185819
36,15,Male,QA Engineer,IT & Software,TechNova Systems,Development,MBA,1168590
38,13,Female,System Administrator,IT & Software,TechNova Systems,Finance,B.Tech,960094
44,21,Female,Technical Lead,IT & Software,TechNova Systems,Sales,B.Sc,3000000
46,18,Male,Product Manager,IT & Software,TechNova Systems,Management,MCA,2852905
45,20,Male,QA Engineer,IT & Software,TechNova Systems,Testing,MSc,967110
49,20,Female,Senior Developer,IT & Software,TechNova Systems,Finance,MBA,1762472
35,14,Female,QA Engineer,IT & Software,TechNova Systems,DevOps,PhD,1643434
21,3,Male,Project Manager,IT & Software,TechNova Systems,Testing,MSc,1906503
45,18,Female,Project Manager,IT & Software,TechNova Systems,Development,PhD,3000000
27,7,Female,Technical Lead,IT & Software,TechNova Systems,Testing,MBA,2355139
29,11,Other,Technical Lead,IT & Software,TechNova Systems,Testing,B.Tech,702037
44,20,Male,Technical Lead,IT & Software,TechNova Systems,Sales,MSc,3000000
21,2,Male,Data Analyst,IT & Software,TechNova Systems,Testing,MSc,1169389
28,9,Female,Product Manager,IT & Software,TechNova Systems,Finance,MBA,2189814
44,20,Female,DevOps Engineer,IT & Software,TechNova Systems,DevOps,BCA,792909
31,6,Male,QA Engineer,IT & Software,TechNova Systems,Testing,MCA,653711
37,17,Female,Data Scientist,IT & Software,TechNova Systems,DevOps,M.Tech,3000000
28,10,Female,Software Engineer,IT & Software,TechNova Systems,HR,MSc,876256
55,26,Male,Technical Lead,IT & Software,TechNova Systems,Testing,PhD,1746467
55,21,Female,HR Executive,IT & Software,TechNova Systems,HR,MSc,1224534
53,19,Female,Project Manager,IT & Software,TechNova Systems,Management,MSc,1204759
25,7,Male,Project Manager,IT & Software,TechNova Systems,Testing,B.Tech,2579040
59,23,Male,System Administrator,IT & Software,TechNova Systems,Support,B.Sc,568087
48,16,Female,Software Engineer,IT & Software,TechNova Systems,Management,MSc,1545359
27,9,Male,QA Engineer,IT & Software,TechNova Systems,DevOps,MBA,589621
29,8,Male,Senior Developer,IT & Software,TechNova Systems,Support,MCA,2073690
28,4,Female,Product Manager,IT & Software,TechNova Systems,Testing,MBA,1333646
32,14,Female,Software Engineer,IT & Software,TechNova Systems,Finance,B.Sc,406466
54,19,Female,DevOps Engineer,IT & Software,TechNova Systems,Support,MCA,2404606
53,20,Female,UI/UX Designer,IT & Software,TechNova Systems,HR,B.Sc,2268069
43,16,Male,Technical Lead,IT & Software,TechNova Systems,DevOps,MCA,2220211
44,15,Male,HR Executive,IT & Software,TechNova Systems,Management,M.Tech,1124832
57,20,Male,QA Engineer,IT & Software,TechNova Systems,Management,PhD,1069001
55,19,Male,QA Engineer,IT & Software,TechNova Systems,HR,MCA,1888156
42,16,Female,Technical Lead,IT & Software,TechNova Systems,Sales,B.Sc,2073702
47,17,Female,DevOps Engineer,IT & Software,TechNova Systems,Testing,B.Tech,1834684
55,24,Male,Technical Lead,IT & Software,TechNova Systems,Testing,MSc,3000000
21,3,Male,Technical Lead,IT & Software,TechNova Systems,Finance,PhD,2571581
55,19,Male,Product Manager,IT & Software,TechNova Systems,Sales,MSc,1088225
57,23,Female,UI/UX Designer,IT & Software,TechNova Systems,Sales,BCA,2455265
34,12,Male,Software Engineer,IT & Software,TechNova Systems,Support,M.Tech,728451
23,5,Male,HR Executive,IT & Software,TechNova Systems,DevOps,MBA,690302
21,3,Female,Product Manager,IT & Software,TechNova Systems,Finance,M.Tech,1979280
25,7,Male,QA Engineer,IT & Software,TechNova Systems,Management,M.Tech,1694125
46,17,Male,System Administrator,IT & Software,TechNova Systems,HR,MBA,1158312
34,11,Female,Technical Lead,IT & Software,TechNova Systems,Management,MCA,2049168
59,20,Male,Data Analyst,IT & Software,TechNova Systems,Development,MSc,618687
47,24,Female,Senior Developer,IT & Software,TechNova Systems,Finance,M.Tech,1596840
29,11,Male,UI/UX Designer,IT & Software,TechNova Systems,HR,MSc,920004
35,10,Male,Technical Lead,IT & Software,TechNova Systems,Management,PhD,2742132
35,14,Male,Technical Lead,IT & Software,TechNova Systems,Management,MSc,962096
46,21,Female,Product Manager,IT & Software,TechNova Systems,Sales,M.Tech,3000000
33,13,Female,QA Engineer,IT & Software,TechNova Systems,Finance,B.Tech,1843913
52,24,Other,Project Manager,IT & Software,TechNova Systems,Development,PhD,3000000
59,18,Female,Data Scientist,IT & Software,TechNova Systems,Testing,B.Tech,3000000
52,14,Female,Senior Developer,IT & Software,TechNova Systems,Finance,PhD,829788
24,6,Male,Project Manager,IT & Software,TechNova Systems,DevOps,B.Sc,740935
50,20,Male,Software Engineer,IT & Software,TechNova Systems,Development,MBA,536331
57,12,Male,Data Analyst,IT & Software,TechNova Systems,DevOps,PhD,1867201
43,15,Male,Data Scientist,IT & Software,TechNova Systems,Development,PhD,3000000
59,20,Male,Product Manager,IT & Software,TechNova Systems,DevOps,MCA,1853757
35,9,Male,Senior Developer,IT & Software,TechNova Systems,Finance,MSc,2076040
49,16,Male,Project Manager,IT & Software,TechNova Systems,HR,MCA,1912027
56,24,Male,Product Manager,IT & Software,TechNova Systems,Finance,MSc,1684623
33,10,Male,HR Executive,IT & Software,TechNova Systems,Management,B.Sc,418466
52,17,Female,HR Executive,IT & Software,TechNova Systems,Support,MCA,1701856
27,5,Female,DevOps Engineer,IT & Software,TechNova Systems,Sales,BCA,1821074
42,20,Male,Product Manager,IT & Software,TechNova Systems,Management,MSc,1456389
48,20,Male,Technical Lead,IT & Software,TechNova Systems,Development,BCA,3000000
22,1,Male,Data Analyst,IT & Software,TechNova Systems,Development,MCA,543383
26,7,Female,Data Scientist,IT & Software,TechNova Systems,Testing,BCA,1585075
48,20,Male,UI/UX Designer,IT & Software,TechNova Systems,Development,MSc,2094223
48,23,Female,Senior Developer,IT & Software,TechNova Systems,Support,B.Tech,2585616
40,18,Male,HR Executive,IT & Software,TechNova Systems,Testing,BCA,1236689
50,18,Male,Data Analyst,IT & Software,TechNova Systems,Development,MCA,785745
31,6,Male,Data Scientist,IT & Software,TechNova Systems,Development,MCA,1429662
48,21,Male,DevOps Engineer,IT & Software,TechNova Systems,Finance,BCA,1248799
45,17,Female,HR Executive,IT & Software,TechNova Systems,Finance,MSc,1292806
59,23,Male,QA Engineer,IT & Software,TechNova Systems,Sales,B.Sc,2357499
53,20,Female,HR Executive,IT & Software,TechNova Systems,Management,B.Sc,1532371
21,3,Female,System Administrator,IT & Software,TechNova Systems,HR,MSc,716143
47,19,Female,QA Engineer,IT & Software,TechNova Systems,Sales,M.Tech,1241255
33,13,Male,Data Analyst,IT & Software,TechNova Systems,Development,MCA,1824636
23,5,Male,Product Manager,IT & Software,TechNova Systems,Sales,MCA,2469921
59,25,Male,DevOps Engineer,IT & Software,TechNova Systems,Finance,PhD,974084
26,6,Male,Project Manager,IT & Software,TechNova Systems,Management,MCA,1116682
28,10,Female,Software Engineer,IT & Software,TechNova Systems,Development,B.Tech,1049276
47,18,Male,Technical Lead,IT & Software,TechNova Systems,DevOps,BCA,825941
29,6,Female,Technical Lead,IT & Software,TechNova Systems,Development,PhD,1838208
57,22,Male,HR Executive,IT & Software,TechNova Systems,Sales,MCA,611368
53,23,Female,Senior Developer,IT & Software,TechNova Systems,Management,B.Tech,692840
44,16,Male,QA Engineer,IT & Software,TechNova Systems,DevOps,M.Tech,2049673
35,13,Male,System Administrator,IT & Software,TechNova Systems,Support,PhD,1868131
52,22,Female,HR Executive,IT & Software,TechNova Systems,Testing,BCA,2012068
52,19,Male,DevOps Engineer,IT & Software,TechNova Systems,Support,BCA,810079
44,16,Female,Software Engineer,IT & Software,TechNova Systems,DevOps,MSc,1138908
32,9,Male,Project Manager,IT & Software,TechNova Systems,DevOps,MSc,1637479
59,23,Male,Software Engineer,IT & Software,TechNova Systems,HR,MBA,1498672
22,4,Female,System Administrator,IT & Software,TechNova Systems,DevOps,MCA,697268
23,5,Female,Software Engineer,IT & Software,TechNova Systems,Management,PhD,834066
57,24,Male,Product Manager,IT & Software,TechNova Systems,Sales,BCA,2878036
37,17,Female,Product Manager,IT & Software,TechNova Systems,Support,B.Sc,2375125
22,4,Female,UI/UX Designer,IT & Software,TechNova Systems,Sales,PhD,1352297
22,2,Female,Software Engineer,IT & Software,TechNova Systems,HR,B.Sc,537836
48,21,Male,Data Analyst,IT & Software,TechNova Systems,Development,MCA,1422446
43,18,Male,DevOps Engineer,IT & Software,TechNova Systems,Development,B.Tech,751550
57,20,Female,DevOps Engineer,IT & Software,TechNova Systems,Testing,B.Sc,915374
52,22,Female,Product Manager,IT & Software,TechNova Systems,Sales,PhD,1331306
53,16,Male,Data Scientist,IT & Software,TechNova Systems,HR,MSc,1006048
21,3,Male,Product Manager,IT & Software,TechNova Systems,Sales,PhD,762066
39,14,Male,HR Executive,IT & Software,TechNova Systems,Finance,BCA,1309080
22,4,Female,Senior Developer,IT & Software,TechNova Systems,Sales,MSc,1459499
46,16,Male,Data Scientist,IT & Software,TechNova Systems,Sales,B.Sc,2462327
52,20,Male,DevOps Engineer,IT & Software,TechNova Systems,Finance,M.Tech,1145044
26,8,Male,Technical Lead,IT & Software,TechNova Systems,Finance,BCA,905302
52,20,Female,HR Executive,IT & Software,TechNova Systems,Support,M.Tech,667464
24,6,Male,Product Manager,IT & Software,TechNova Systems,DevOps,M.Tech,3000000
31,13,Male,System Administrator,IT & Software,TechNova Systems,DevOps,B.Sc,835686
37,14,Female,Data Analyst,IT & Software,TechNova Systems,HR,B.Sc,1771538
58,21,Female,Project Manager,IT & Software,TechNova Systems,Support,PhD,2536200
44,15,Male,Technical Lead,IT & Software,TechNova Systems,Development,MCA,2059942
25,7,Male,DevOps Engineer,IT & Software,TechNova Systems,Testing,MCA,1597056
54,23,Female,UI/UX Designer,IT & Software,TechNova Systems,Support,B.Tech,2643954
26,8,Female,HR Executive,IT & Software,TechNova Systems,Finance,MSc,451764
42,19,Female,DevOps Engineer,IT & Software,TechNova Systems,Development,B.Sc,2183778
31,6,Female,QA Engineer,IT & Software,TechNova Systems,DevOps,BCA,967279
36,12,Female,Data Scientist,IT & Software,TechNova Systems,HR,MSc,2297929
53,17,Female,Project Manager,IT & Software,TechNova Systems,Management,BCA,1345675
29,11,Male,Project Manager,IT & Software,TechNova Systems,Sales,MSc,1589471
26,8,Male,Senior Developer,IT & Software,TechNova Systems,HR,MCA,1462775
36,14,Male,QA Engineer,IT & Software,TechNova Systems,HR,MCA,1413661
49,21,Male,Software Engineer,IT & Software,TechNova Systems,Finance,M.Tech,1188491
23,5,Female,Product Manager,IT & Software,TechNova Systems,Testing,M.Tech,860762
40,19,Male,QA Engineer,IT & Software,TechNova Systems,Support,BCA,1760715
56,25,Female,Project Manager,IT & Software,TechNova Systems,Finance,BCA,3000000
39,14,Male,Technical Lead,IT & Software,TechNova Systems,Sales,M.Tech,1880194
46,16,Male,Product Manager,IT & Software,TechNova Systems,Finance,MBA,2873035
23,5,Other,Product Manager,IT & Software,TechNova Systems,Sales,MSc,1119699
39,17,Male,UI/UX Designer,IT & Software,TechNova Systems,Finance,MCA,1085768
40,15,Male,Senior Developer,IT & Software,TechNova Systems,Management,M.Tech,1276136
52,19,Male,System Administrator,IT & Software,TechNova Systems,DevOps,M.Tech,1026583
27,9,Female,Technical Lead,IT & Software,TechNova Systems,Testing,B.Sc,793551
53,25,Male,HR Executive,IT & Software,TechNova Systems,Management,BCA,971002
59,26,Female,Software Engineer,IT & Software,TechNova Systems,Development,PhD,1389861
38,20,Male,Data Scientist,IT & Software,TechNova Systems,DevOps,M.Tech,2629803
21,3,Female,System Administrator,IT & Software,TechNova Systems,DevOps,B.Sc,741259
31,12,Male,Technical Lead,IT & Software,TechNova Systems,DevOps,B.Tech,3000000
48,19,Female,HR Executive,IT & Software,TechNova Systems,Testing,M.Tech,1440771
45,14,Female,DevOps Engineer,IT & Software,TechNova Systems,Support,PhD,967867
43,13,Female,Data Analyst,IT & Software,TechNova Systems,Finance,B.Sc,1571292
51,21,Female,Software Engineer,IT & Software,TechNova Systems,DevOps,PhD,522378
50,17,Female,Data Scientist,IT & Software,TechNova Systems,HR,M.Tech,2555871
55,22,Female,Senior Developer,IT & Software,TechNova Systems,Development,B.Tech,1023327
27,9,Male,QA Engineer,IT & Software,TechNova Systems,DevOps,M.Tech,1513572
36,12,Female,Data Analyst,IT & Software,TechNova Systems,HR,B.Sc,1391958
46,24,Male,Software Engineer,IT & Software,TechNova Systems,DevOps,B.Tech,1110542
22,4,Male,System Administrator,IT & Software,TechNova Systems,Management,B.Tech,1694354
21,3,Male,DevOps Engineer,IT & Software,TechNova Systems,Support,B.Tech,1658327
32,14,Male,Product Manager,IT & Software,TechNova Systems,Testing,MBA,1251029
25,7,Male,UI/UX Designer,IT & Software,TechNova Systems,Support,B.Sc,1762750
57,19,Female,Senior Developer,IT & Software,TechNova Systems,Development,MBA,1699744
52,27,Male,Project Manager,IT & Software,TechNova Systems,Management,PhD,2821942
29,11,Male,Technical Lead,IT & Software,TechNova Systems,Finance,B.Tech,945765
55,24,Female,Technical Lead,IT & Software,TechNova Systems,HR,MBA,3000000
39,19,Male,Senior Developer,IT & Software,TechNova Systems,Finance,M.Tech,2257272
36,12,Female,Project Manager,IT & Software,TechNova Systems,Sales,MBA,2866310
23,5,Female,UI/UX Designer,IT & Software,TechNova Systems,Support,MCA,978608
40,13,Female,Product Manager,IT & Software,TechNova Systems,Development,PhD,2023680
44,21,Female,Technical Lead,IT & Software,TechNova Systems,HR,B.Tech,3000000
53,18,Male,Software Engineer,IT & Software,TechNova Systems,Testing,B.Tech,573490
44,17,Male,Senior Developer,IT & Software,TechNova Systems,DevOps,BCA,824619
31,13,Male,UI/UX Designer,IT & Software,TechNova Systems,Testing,MSc,1851290
28,10,Female,Senior Developer,IT & Software,TechNova Systems,Testing,PhD,1869075
56,28,Male,System Administrator,IT & Software,TechNova Systems,Management,PhD,698277
58,21,Male,Project Manager,IT & Software,TechNova Systems,Testing,B.Sc,3000000
40,19,Male,System Administrator,IT & Software,TechNova Systems,HR,M.Tech,1137420
55,27,Female,Project Manager,IT & Software,TechNova Systems,DevOps,BCA,1670517
45,18,Male,System Administrator,IT & Software,TechNova Systems,Support,PhD,1565990
55,20,Other,Senior Developer,IT & Software,TechNova Systems,Support,BCA,930368
45,12,Male,QA Engineer,IT & Software,TechNova Systems,Support,PhD,1188222
49,25,Male,QA Engineer,IT & Software,TechNova Systems,Management,BCA,1446318
38,14,Male,QA Engineer,IT & Software,TechNova Systems,Sales,B.Sc,1588346
38,12,Female,Senior Developer,IT & Software,TechNova Systems,Testing,PhD,1926869
22,4,Female,Technical Lead,IT & Software,TechNova Systems,Support,MBA,2589029
55,18,Male,UI/UX Designer,IT & Software,TechNova Systems,Testing,MCA,1567413
36,17,Male,DevOps Engineer,IT & Software,TechNova Systems,DevOps,MCA,2292257
56,25,Female,Product Manager,IT & Software,TechNova Systems,DevOps,MCA,2834591
53,23,Male,Data Scientist,IT & Software,TechNova Systems,Management,PhD,2594851
24,6,Male,DevOps Engineer,IT & Software,TechNova Systems,Testing,BCA,2107390
53,17,Male,QA Engineer,IT & Software,TechNova Systems,Sales,MCA,860239
34,11,Male,Technical Lead,IT & Software,TechNova Systems,Management,M.Tech,1608502
41,13,Male,Senior Developer,IT & Software,TechNova Systems,Management,MBA,1285683
40,17,Male,HR Executive,IT & Software,TechNova Systems,Development,MCA,517146
28,8,Male,Technical Lead,IT & Software,TechNova Systems,Management,B.Tech,2981008
27,8,Female,HR Executive,IT & Software,TechNova Systems,Testing,PhD,1306364
23,5,Male,Senior Developer,IT & Software,TechNova Systems,Management,MBA,1588595
37,9,Female,Software Engineer,IT & Software,TechNova Systems,Testing,M.Tech,954184
53,21,Male,Product Manager,IT & Software,TechNova Systems,Testing,MCA,1576530
32,12,Female,Project Manager,IT & Software,TechNova Systems,Support,M.Tech,798200
42,20,Male,UI/UX Designer,IT & Software,TechNova Systems,Management,PhD,583314
42,14,Female,Data Scientist,IT & Software,TechNova Systems,Development,MCA,1936927
50,16,Male,DevOps Engineer,IT & Software,TechNova Systems,Testing,B.Tech,1265131
58,22,Female,System Administrator,IT & Software,TechNova Systems,Support,MBA,2440915
58,19,Male,System Administrator,IT & Software,TechNova Systems,Development,BCA,1463959
28,10,Male,Project Manager,IT & Software,TechNova Systems,Development,B.Tech,1852555
47,13,Female,Technical Lead,IT & Software,TechNova Systems,Management,MCA,1363283
47,16,Female,System Administrator,IT & Software,TechNova Systems,Finance,B.Sc,933977
54,18,Male,Product Manager,IT & Software,TechNova Systems,Support,MSc,3000000
41,18,Female,Data Analyst,IT & Software,TechNova Systems,Finance,MBA,990736
50,17,Male,System Administrator,IT & Software,TechNova Systems,Testing,M.Tech,1321316
53,15,Male,Senior Developer,IT & Software,TechNova Systems,HR,MCA,1341912
48,18,Other,Project Manager,IT & Software,TechNova Systems,Finance,B.Tech,2103749
53,22,Male,Data Scientist,IT & Software,TechNova Systems,Support,PhD,1981936
25,7,Female,Project Manager,IT & Software,TechNova Systems,Management,BCA,1983315
39,13,Male,Data Scientist,IT & Software,TechNova Systems,Support,B.Sc,3000000
24,6,Female,Data Analyst,IT & Software,TechNova Systems,Management,BCA,847996
55,22,Female,UI/UX Designer,IT & Software,TechNova Systems,Finance,PhD,1404992
37,12,Other,System Administrator,IT & Software,TechNova Systems,HR,MCA,2043172
48,18,Female,Project Manager,IT & Software,TechNova Systems,Sales,MSc,2396823
50,22,Male,Product Manager,IT & Software,TechNova Systems,Testing,M.Tech,2955046
49,15,Female,HR Executive,IT & Software,TechNova Systems,Support,B.Tech,920288
26,8,Male,QA Engineer,IT & Software,TechNova Systems,Sales,MBA,1782251
55,16,Female,Product Manager,IT & Software,TechNova Systems,Sales,B.Sc,2751489
57,23,Female,Data Analyst,IT & Software,TechNova Systems,Development,MCA,955871
44,14,Male,Technical Lead,IT & Software,TechNova Systems,Development,MCA,2955308
49,22,Female,HR Executive,IT & Software,TechNova Systems,Testing,MCA,771474
51,15,Male,Data Scientist,IT & Software,TechNova Systems,HR,MCA,1298653
55,23,Male,Project Manager,IT & Software,TechNova Systems,Development,B.Tech,3000000
53,24,Male,Data Scientist,IT & Software,TechNova Systems,Support,MBA,3000000
41,13,Female,Data Scientist,IT & Software,TechNova Systems,Support,M.Tech,2072602
52,18,Male,Product Manager,IT & Software,TechNova Systems,Finance,B.Sc,893126
43,14,Female,Product Manager,IT & Software,TechNova Systems,Support,BCA,1051393
53,19,Male,Data Analyst,IT & Software,TechNova Systems,Testing,MSc,990173
23,5,Female,Product Manager,IT & Software,TechNova Systems,Management,MCA,710734
38,13,Male,HR Executive,IT & Software,TechNova Systems,Sales,PhD,835309
45,14,Female,Project Manager,IT & Software,TechNova Systems,Support,MCA,720527
51,14,Male,System Administrator,IT & Software,TechNova Systems,Testing,MBA,1628662
23,5,Female,Software Engineer,IT & Software,TechNova Systems,Management,MBA,546697
44,22,Male,DevOps Engineer,IT & Software,TechNova Systems,Management,MSc,1043150
52,22,Female,DevOps Engineer,IT & Software,TechNova Systems,Development,B.Tech,2917442
42,14,Male,Product Manager,IT & Software,TechNova Systems,Management,B.Tech,1396150
43,19,Female,Data Analyst,IT & Software,TechNova Systems,HR,PhD,549254
22,4,Male,Technical Lead,IT & Software,TechNova Systems,Management,PhD,956416
47,18,Female,Product Manager,IT & Software,TechNova Systems,Management,B.Tech,3000000
22,4,Male,Senior Developer,IT & Software,TechNova Systems,Sales,B.Sc,1536851
46,22,Male,Software Engineer,IT & Software,TechNova Systems,HR,PhD,1453038
37,9,Male,Project Manager,IT & Software,TechNova Systems,Testing,B.Tech,1535880
53,24,Male,DevOps Engineer,IT & Software,TechNova Systems,HR,MCA,1441745
29,10,Male,Technical Lead,IT & Software,TechNova Systems,HR,B.Tech,3000000
59,20,Female,Senior Developer,IT & Software,TechNova Systems,Testing,BCA,1127209
49,16,Female,HR Executive,IT & Software,TechNova Systems,Sales,B.Sc,1297302
46,15,Female,Project Manager,IT & Software,TechNova Systems,Support,B.Tech,940720
55,18,Male,Data Scientist,IT & Software,TechNova Systems,DevOps,B.Tech,2406532
45,23,Male,Product Manager,IT & Software,TechNova Systems,Management,MCA,3000000
44,19,Female,Technical Lead,IT & Software,TechNova Systems,HR,PhD,2740782
33,15,Male,Project Manager,IT & Software,TechNova Systems,HR,MCA,3000000
27,9,Female,Software Engineer,IT & Software,TechNova Systems,Support,BCA,443372
56,22,Male,Data Scientist,IT & Software,TechNova Systems,Testing,BCA,3000000
40,16,Other,Software Engineer,IT & Software,TechNova Systems,Finance,MSc,1283291
21,3,Male,QA Engineer,IT & Software,TechNova Systems,Support,MCA,680581
28,10,Female,DevOps Engineer,IT & Software,TechNova Systems,HR,B.Tech,2269912
36,10,Male,UI/UX Designer,IT & Software,TechNova Systems,Development,MCA,1576310
34,16,Female,Senior Developer,IT & Software,TechNova Systems,Management,MBA,962350
32,7,Male,UI/UX Designer,IT & Software,TechNova Systems,Management,M.Tech,777511
43,14,Female,Technical Lead,IT & Software,TechNova Systems,Support,M.Tech,2384291
35,17,Female,Data Scientist,IT & Software,TechNova Systems,Sales,MCA,1357244
48,19,Male,DevOps Engineer,IT & Software,TechNova Systems,Support,PhD,1795098
54,22,Male,Data Analyst,IT & Software,TechNova Systems,HR,B.Sc,1926007
22,4,Male,Product Manager,IT & Software,TechNova Systems,Testing,BCA,1752538
52,16,Male,Software Engineer,IT & Software,TechNova Systems,Development,MCA,958159
43,13,Male,QA Engineer,IT & Software,TechNova Systems,Support,PhD,1825557
42,15,Male,Software Engineer,IT & Software,TechNova Systems,Testing,MCA,1174516
45,15,Male,Project Manager,IT & Software,TechNova Systems,Support,B.Tech,765921
42,16,Female,HR Executive,IT & Software,TechNova Systems,HR,BCA,934070
42,18,Female,QA Engineer,IT & Software,TechNova Systems,Development,BCA,844206
26,8,Male,QA Engineer,IT & Software,TechNova Systems,Sales,PhD,1655153
35,16,Female,Senior Developer,IT & Software,TechNova Systems,Sales,BCA,2440204
57,19,Female,Technical Lead,IT & Software,TechNova Systems,Support,B.Sc,3000000
53,20,Female,Data Analyst,IT & Software,TechNova Systems,DevOps,MCA,2066374
28,9,Male,Data Analyst,IT & Software,TechNova Systems,Sales,MBA,1148656
25,6,Male,Senior Developer,IT & Software,TechNova Systems,DevOps,PhD,2050122
59,19,Female,Software Engineer,IT & Software,TechNova Systems,DevOps,M.Tech,1289855
