experience,education,department,gender,role,company,salary,sector,age
21,M.Sc,IT,Male,System Engineer,consultancy,87063,private,48
35,MBA,Marketing,Male,UI/UX Designer,startup,96817,startup,59
0,B.Sc,Support,Female,Software Developer,mnc,79269,private,23
11,B.Tech,R&D,Female,Data Analyst,consultancy,99303,private,32
11,B.Sc,Finance,Female,Software Developer,pvt_company,108648,private,35
14,MBA,Sales,Female,QA Tester,startup,72949,startup,37
4,M.Tech,Sales,Female,Product Manager,startup,108940,startup,30
16,MBA,Operations,Male,Database Admin,pvt_company,101295,private,36
0,B.Tech,Sales,Male,HR Manager,pvt_company,90963,private,21
35,M.Sc,Finance,Female,QA Tester,pvt_company,151179,private,56
6,M.Sc,Support,Male,Product Manager,mnc,118145,private,28
23,B.Sc,Support,Female,Data Analyst,pvt_company,124427,private,49
5,B.Tech,Marketing,Male,Product Manager,mnc,121577,private,25
24,B.Sc,Marketing,Female,System Engineer,consultancy,137855,private,47
31,M.Tech,Marketing,Female,Product Manager,pvt_company,135346,private,56
31,Diploma,Marketing,Male,Project Manager,pvt_company,155533,private,54
17,B.Sc,R&D,Female,ML Engineer,pvt_company,103909,private,42
27,B.Tech,Marketing,Male,System Engineer,pvt_company,117917,private,51
6,B.Tech,R&D,Male,UI/UX Designer,startup,58172,startup,28
22,MBA,Operations,Female,HR Manager,consultancy,157483,private,43
5,M.Sc,Marketing,Male,Project Manager,pvt_company,93331,private,30
2,B.Tech,R&D,Male,DevOps Engineer,govt_company,57941,government,25
21,B.Tech,R&D,Male,Project Manager,pvt_company,131493,private,43
7,B.Tech,Operations,Male,System Engineer,pvt_company,76382,private,27
33,B.Tech,IT,Female,Database Admin,pvt_company,199228,private,56
18,B.Tech,HR,Female,HR Manager,pvt_company,130521,private,44
30,B.Tech,Support,Male,QA Tester,mnc,102677,private,56
11,B.Tech,Operations,Female,DevOps Engineer,startup,116705,startup,36
5,B.Tech,Support,Male,Project Manager,pvt_company,128387,private,30
19,B.Tech,HR,Female,DevOps Engineer,pvt_company,140001,private,43
14,M.Tech,Sales,Male,HR Manager,pvt_company,128449,private,39
36,B.Tech,HR,Male,Database Admin,consultancy,149115,private,59
17,B.Tech,Operations,Female,Database Admin,startup,39306,startup,43
4,MBA,Marketing,Female,Business Analyst,mnc,64472,private,29
13,M.Sc,HR,Female,HR Manager,mnc,118195,private,40
32,B.Tech,Support,Female,UI/UX Designer,pvt_company,131329,private,56
30,M.Sc,Support,Female,UI/UX Designer,mnc,145712,private,52
12,M.Sc,Operations,Male,Product Manager,mnc,142828,private,33
24,M.Tech,IT,Male,Product Manager,startup,81365,startup,45
3,B.Tech,IT,Male,Database Admin,startup,70318,startup,27
17,B.Tech,R&D,Female,Product Manager,consultancy,124141,private,44
11,MBA,Support,Female,ML Engineer,pvt_company,94859,private,36
23,M.Tech,Marketing,Male,Software Developer,govt_company,75930,government,45
27,B.Tech,Sales,Female,System Engineer,govt_company,94356,government,48
13,M.Tech,Support,Male,Data Analyst,pvt_company,83857,private,40
29,M.Tech,Marketing,Male,Database Admin,pvt_company,161822,private,51
38,B.Sc,Support,Female,System Engineer,mnc,118035,private,59
23,M.Tech,Sales,Female,Product Manager,mnc,120783,private,50
10,B.Tech,Support,Female,Product Manager,pvt_company,110174,private,33
6,B.Tech,R&D,Female,DevOps Engineer,pvt_company,92030,private,28
9,B.Sc,Finance,Female,QA Tester,pvt_company,68961,private,35
21,B.Sc,Operations,Male,HR Manager,pvt_company,183203,private,44
33,B.Tech,Sales,Male,Data Analyst,startup,91118,startup,57
20,MBA,R&D,Female,HR Manager,consultancy,155423,private,41
13,B.Tech,IT,Female,Project Manager,startup,140401,startup,36
0,B.Tech,Support,Male,Network Engineer,startup,41413,startup,21
1,Diploma,Marketing,Female,UI/UX Designer,pvt_company,70043,private,27
34,B.Tech,Operations,Male,Database Admin,pvt_company,153485,private,55
20,MBA,Support,Male,Database Admin,startup,135925,startup,42
11,B.Tech,Sales,Female,QA Tester,pvt_company,63926,private,34
0,M.Sc,Support,Male,Network Engineer,mnc,80122,private,26
12,B.Tech,Operations,Female,DevOps Engineer,pvt_company,94342,private,39
3,M.Sc,Marketing,Male,Database Admin,pvt_company,85121,private,25
15,MBA,R&D,Female,Database Admin,mnc,118922,private,41
3,B.Sc,IT,Female,Software Developer,pvt_company,81100,private,26
23,M.Tech,Support,Male,System Engineer,govt_company,102321,government,47
31,Unknown,HR,Male,Network Engineer,consultancy,118422,private,54
28,B.Tech,Support,Male,Data Analyst,mnc,181719,private,54
6,Unknown,Marketing,Female,Project Manager,mnc,97314,private,32
3,MBA,IT,Female,HR Manager,startup,80020,startup,28
0,MBA,Finance,Male,UI/UX Designer,govt_company,34866,government,22
11,PhD,HR,Female,System Engineer,mnc,118912,private,33
18,M.Sc,Sales,Female,Data Analyst,startup,73390,startup,40
7,B.Sc,Finance,Male,Data Analyst,pvt_company,102865,private,32
0,B.Tech,Sales,Female,Software Developer,consultancy,60128,private,25
11,B.Tech,Marketing,Male,DevOps Engineer,consultancy,91003,private,36
15,M.Tech,Operations,Male,DevOps Engineer,consultancy,103413,private,40
0,M.Tech,Marketing,Female,DevOps Engineer,consultancy,65062,private,26
1,M.Sc,Finance,Female,System Engineer,pvt_company,72783,private,23
5,B.Sc,HR,Female,Software Developer,startup,79500,startup,28
20,Unknown,IT,Female,Product Manager,startup,51658,startup,48
33,M.Tech,HR,Other,Business Analyst,pvt_company,130373,private,55
10,MBA,IT,Male,System Engineer,pvt_company,89915,private,34
19,M.Sc,Marketing,Female,System Engineer,startup,80697,startup,43
28,B.Tech,Support,Male,Database Admin,startup,112478,startup,56
0,M.Sc,Sales,Female,Project Manager,mnc,106786,private,22
16,B.Sc,HR,Male,UI/UX Designer,govt_company,74045,government,40
0,MBA,IT,Male,Project Manager,consultancy,107727,private,24
3,B.Sc,Support,Female,DevOps Engineer,consultancy,68489,private,28
27,MBA,R&D,Female,Business Analyst,pvt_company,87261,private,50
30,M.Tech,R&D,Male,Network Engineer,consultancy,132696,private,55
0,Diploma,HR,Male,Business Analyst,pvt_company,50052,private,22
23,B.Sc,R&D,Male,Business Analyst,pvt_company,109519,private,48
0,B.Sc,Marketing,Female,Software Developer,startup,88353,startup,24
30,B.Tech,R&D,Male,Network Engineer,consultancy,143124,private,55
1,M.Tech,R&D,Female,Network Engineer,pvt_company,83434,private,22
28,PhD,Operations,Female,Network Engineer,pvt_company,130569,private,54
25,Diploma,Finance,Female,Product Manager,govt_company,97992,government,48
4,M.Tech,Support,Female,Product Manager,mnc,115087,private,31
31,M.Tech,Finance,Male,ML Engineer,mnc,168358,private,55
24,B.Sc,Operations,Female,HR Manager,startup,105683,startup,47
17,M.Sc,Sales,Female,QA Tester,govt_company,60965,government,39
17,M.Tech,Support,Male,Product Manager,govt_company,97835,government,42
10,B.Tech,Sales,Male,Software Developer,consultancy,83573,private,34
0,Diploma,Operations,Female,QA Tester,mnc,53953,private,21
38,B.Sc,HR,Female,ML Engineer,startup,270166,startup,59
20,Diploma,Marketing,Male,Database Admin,consultancy,95663,private,48
19,Unknown,Operations,Female,Network Engineer,startup,44155,startup,43
6,M.Sc,HR,Female,Project Manager,mnc,131122,private,33
28,B.Tech,IT,Female,QA Tester,govt_company,97973,government,54
14,B.Sc,HR,Male,Data Analyst,govt_company,84950,government,38
23,B.Sc,Operations,Male,DevOps Engineer,pvt_company,133393,private,48
26,B.Tech,Marketing,Male,QA Tester,pvt_company,141069,private,51
34,B.Tech,Sales,Male,Network Engineer,startup,89698,startup,57
31,M.Sc,R&D,Female,HR Manager,govt_company,143328,government,58
28,B.Sc,Operations,Male,UI/UX Designer,pvt_company,133978,private,48
29,MBA,R&D,Male,UI/UX Designer,mnc,152428,private,50
37,M.Tech,IT,Male,System Engineer,govt_company,98195,government,59
22,B.Sc,IT,Female,Project Manager,pvt_company,163877,private,45
25,B.Tech,Support,Male,Network Engineer,mnc,123067,private,53
15,B.Sc,Sales,Male,HR Manager,startup,99502,startup,35
7,B.Sc,R&D,Female,Data Analyst,mnc,99042,private,29
25,B.Tech,Sales,Other,ML Engineer,mnc,103506,private,45
33,B.Tech,Sales,Male,HR Manager,startup,230013,startup,58
31,B.Tech,Sales,Female,Business Analyst,consultancy,108515,private,55
24,B.Tech,Operations,Male,Network Engineer,pvt_company,116545,private,47
19,B.Tech,HR,Male,Data Analyst,startup,75664,startup,40
30,B.Tech,Marketing,Female,Data Analyst,consultancy,171520,private,53
28,B.Tech,Sales,Male,UI/UX Designer,consultancy,99465,private,53
18,B.Tech,Finance,Other,Software Developer,startup,91940,startup,45
23,B.Tech,Support,Female,Business Analyst,mnc,130067,private,44
0,B.Tech,HR,Other,Software Developer,pvt_company,69387,private,21
3,M.Sc,Sales,Female,Project Manager,consultancy,95544,private,28
25,MBA,Support,Female,HR Manager,pvt_company,164925,private,50
1,M.Sc,IT,Male,QA Tester,govt_company,41594,government,26
21,B.Sc,IT,Female,Data Analyst,pvt_company,135909,private,45
28,B.Tech,Support,Male,Data Analyst,pvt_company,141367,private,51
9,M.Sc,Marketing,Female,Product Manager,pvt_company,131214,private,32
23,B.Sc,HR,Male,Database Admin,pvt_company,147228,private,47
19,B.Tech,R&D,Female,Product Manager,pvt_company,129772,private,43
0,MBA,R&D,Male,Data Analyst,startup,139802,startup,22
34,B.Tech,R&D,Female,HR Manager,pvt_company,184946,private,55
29,B.Sc,Marketing,Male,Network Engineer,govt_company,107021,government,54
6,B.Tech,Sales,Male,Business Analyst,pvt_company,75084,private,32
30,B.Tech,IT,Female,ML Engineer,pvt_company,148684,private,53
24,MBA,Marketing,Male,Product Manager,consultancy,127737,private,50
26,MBA,Marketing,Female,DevOps Engineer,govt_company,83174,government,51
26,M.Tech,Marketing,Male,ML Engineer,pvt_company,128631,private,52
30,B.Tech,Support,Male,UI/UX Designer,mnc,136855,private,56
19,M.Tech,Support,Other,QA Tester,consultancy,116381,private,43
0,B.Tech,Finance,Male,ML Engineer,consultancy,61102,private,24
13,M.Tech,Marketing,Female,ML Engineer,startup,26370,startup,37
34,B.Sc,HR,Female,System Engineer,mnc,182096,private,59
25,Diploma,Sales,Male,System Engineer,startup,120669,startup,49
21,B.Tech,Sales,Female,Business Analyst,startup,139245,startup,41
34,B.Tech,HR,Female,DevOps Engineer,govt_company,126321,government,58
3,B.Tech,HR,Female,HR Manager,consultancy,95799,private,27
6,Unknown,IT,Other,Network Engineer,pvt_company,92939,private,34
4,M.Tech,IT,Female,UI/UX Designer,pvt_company,73766,private,30
0,B.Sc,IT,Female,Project Manager,mnc,85279,private,22
0,M.Tech,HR,Female,QA Tester,pvt_company,47039,private,25
30,B.Tech,Marketing,Other,Business Analyst,govt_company,92044,government,53
14,B.Tech,Sales,Male,QA Tester,startup,104108,startup,41
10,B.Sc,R&D,Female,HR Manager,mnc,114192,private,36
14,MBA,IT,Female,DevOps Engineer,pvt_company,96752,private,42
7,B.Tech,IT,Male,Project Manager,mnc,125485,private,31
0,B.Tech,Finance,Female,Project Manager,pvt_company,103899,private,22
24,B.Sc,Sales,Male,QA Tester,pvt_company,97802,private,44
10,B.Tech,Operations,Male,Software Developer,pvt_company,103635,private,34
24,B.Tech,Finance,Female,Software Developer,pvt_company,154767,private,48
18,B.Tech,Operations,Male,UI/UX Designer,govt_company,61354,government,40
28,B.Tech,Marketing,Male,Software Developer,govt_company,92839,government,52
16,M.Tech,IT,Female,HR Manager,startup,77628,startup,38
3,MBA,Marketing,Female,Software Developer,pvt_company,80179,private,26
19,MBA,Finance,Male,Business Analyst,govt_company,82716,government,43
35,B.Tech,HR,Male,Database Admin,govt_company,113880,government,57
18,MBA,Sales,Female,Business Analyst,startup,62529,startup,41
25,MBA,Finance,Male,Network Engineer,startup,120324,startup,49
14,M.Tech,HR,Male,Software Developer,govt_company,70003,government,35
8,B.Tech,Support,Female,UI/UX Designer,consultancy,66723,private,32
32,B.Tech,Operations,Female,Software Developer,startup,52299,startup,57
12,MBA,HR,Female,Business Analyst,pvt_company,73284,private,34
24,B.Tech,Sales,Female,Data Analyst,pvt_company,190759,private,48
8,B.Sc,Operations,Female,HR Manager,pvt_company,105918,private,31
32,B.Tech,Support,Female,HR Manager,pvt_company,192584,private,58
23,M.Tech,IT,Female,UI/UX Designer,mnc,140199,private,48
9,B.Tech,IT,Male,DevOps Engineer,consultancy,88450,private,30
5,B.Tech,Support,Male,HR Manager,govt_company,73374,government,27
29,B.Sc,Sales,Female,Database Admin,startup,136037,startup,54
23,M.Tech,IT,Male,Data Analyst,pvt_company,156719,private,43
32,B.Tech,Sales,Female,Software Developer,mnc,184498,private,56
7,Unknown,HR,Male,Software Developer,pvt_company,86097,private,34
23,M.Sc,R&D,Male,QA Tester,consultancy,67757,private,43
23,MBA,Support,Female,HR Manager,mnc,106798,private,46
31,MBA,HR,Male,HR Manager,pvt_company,200300,private,53
11,M.Sc,Sales,Female,HR Manager,consultancy,115654,private,36
11,M.Tech,Operations,Male,QA Tester,pvt_company,86825,private,39
7,B.Sc,Support,Female,UI/UX Designer,pvt_company,66919,private,33
36,MBA,Support,Female,ML Engineer,mnc,145757,private,56
28,B.Tech,Operations,Other,Database Admin,mnc,169009,private,52
30,B.Sc,Operations,Other,System Engineer,pvt_company,125369,private,54
0,M.Sc,Support,Female,Business Analyst,consultancy,55557,private,25
22,M.Sc,IT,Male,ML Engineer,govt_company,71246,government,44
19,MBA,Support,Female,Software Developer,mnc,129936,private,41
2,B.Tech,Operations,Female,Data Analyst,govt_company,61432,government,27
4,M.Tech,R&D,Male,Project Manager,pvt_company,96090,private,31
16,PhD,Support,Male,UI/UX Designer,pvt_company,78017,private,40
19,MBA,Marketing,Female,UI/UX Designer,pvt_company,106222,private,43
33,MBA,IT,Female,System Engineer,mnc,126445,private,58
4,B.Tech,Support,Other,Project Manager,consultancy,96640,private,28
18,MBA,R&D,Male,Data Analyst,mnc,161603,private,39
6,MBA,Support,Male,QA Tester,govt_company,55949,government,33
26,M.Sc,Sales,Female,Product Manager,pvt_company,145864,private,49
28,M.Tech,Marketing,Female,HR Manager,pvt_company,151269,private,56
34,B.Tech,Finance,Female,Data Analyst,startup,123061,startup,59
0,B.Tech,Finance,Female,Business Analyst,pvt_company,51070,private,23
0,M.Tech,Operations,Other,UI/UX Designer,startup,43122,startup,25
32,MBA,IT,Female,HR Manager,pvt_company,113140,private,57
0,B.Sc,Sales,Male,QA Tester,pvt_company,58222,private,23
28,B.Tech,Support,Male,Data Analyst,govt_company,96812,government,56
12,B.Sc,HR,Female,Network Engineer,mnc,96790,private,39
5,M.Tech,Finance,Male,Data Analyst,mnc,120377,private,27
2,MBA,HR,Male,QA Tester,mnc,60422,private,26
18,B.Sc,R&D,Male,DevOps Engineer,pvt_company,93452,private,43
27,B.Sc,R&D,Female,System Engineer,mnc,165546,private,50
3,M.Sc,Operations,Female,ML Engineer,govt_company,52768,government,29
21,B.Tech,Marketing,Male,Business Analyst,mnc,84483,private,47
32,B.Sc,Operations,Female,ML Engineer,mnc,147371,private,58
32,B.Tech,Marketing,Male,ML Engineer,mnc,193235,private,58
13,B.Tech,R&D,Other,Product Manager,mnc,140225,private,36
27,M.Sc,Support,Male,Database Admin,mnc,145388,private,53
18,MBA,Marketing,Female,Network Engineer,govt_company,64770,government,43
31,MBA,Marketing,Male,Project Manager,govt_company,104338,government,52
15,B.Tech,Support,Male,HR Manager,startup,115534,startup,38
26,B.Tech,Marketing,Female,DevOps Engineer,startup,89470,startup,49
32,MBA,HR,Male,DevOps Engineer,govt_company,115371,government,56
18,M.Tech,Finance,Female,Project Manager,pvt_company,132831,private,43
31,M.Sc,Sales,Male,Network Engineer,govt_company,94386,government,58
10,B.Tech,IT,Female,HR Manager,govt_company,88482,government,34
22,B.Tech,Marketing,Female,UI/UX Designer,startup,193697,startup,43
17,B.Tech,IT,Female,Data Analyst,pvt_company,106008,private,41
9,M.Sc,Finance,Female,Data Analyst,mnc,109475,private,33
19,M.Tech,R&D,Male,System Engineer,pvt_company,104876,private,47
12,Diploma,Operations,Female,DevOps Engineer,mnc,111814,private,35
32,M.Sc,Operations,Male,System Engineer,consultancy,91745,private,57
26,M.Sc,R&D,Male,QA Tester,govt_company,71404,government,47
21,B.Sc,HR,Male,DevOps Engineer,pvt_company,126941,private,44
26,B.Tech,Marketing,Female,QA Tester,pvt_company,120553,private,53
15,M.Sc,HR,Male,Database Admin,pvt_company,111448,private,43
16,B.Sc,R&D,Male,Database Admin,pvt_company,122216,private,42
15,B.Tech,Marketing,Male,Software Developer,consultancy,105947,private,41
28,MBA,Sales,Female,QA Tester,mnc,146287,private,54
1,B.Tech,Marketing,Female,Software Developer,mnc,75764,private,28
0,M.Tech,Marketing,Female,Project Manager,govt_company,62429,government,23
12,M.Sc,Support,Male,Business Analyst,consultancy,74917,private,38
27,B.Tech,Support,Male,Database Admin,consultancy,137626,private,52
22,B.Tech,Marketing,Male,System Engineer,pvt_company,132149,private,44
21,M.Sc,Finance,Female,Product Manager,pvt_company,113769,private,44
10,B.Tech,Operations,Male,Data Analyst,pvt_company,118727,private,35
20,M.Sc,Support,Male,Product Manager,startup,189484,startup,45
6,Diploma,Support,Female,Project Manager,mnc,119911,private,28
15,M.Tech,R&D,Female,UI/UX Designer,govt_company,60196,government,38
0,Diploma,HR,Female,Project Manager,mnc,101224,private,22
8,B.Tech,Support,Female,Software Developer,startup,56388,startup,30
20,M.Tech,Marketing,Female,Software Developer,startup,81340,startup,44
35,B.Tech,R&D,Female,Database Admin,consultancy,155533,private,55
20,B.Sc,Marketing,Female,Business Analyst,govt_company,67496,government,43
1,B.Sc,Finance,Female,HR Manager,pvt_company,83225,private,22
28,B.Sc,Support,Male,Software Developer,mnc,104660,private,52
31,M.Tech,Sales,Male,ML Engineer,startup,239896,startup,56
10,M.Sc,Sales,Male,Project Manager,mnc,154650,private,34
33,B.Tech,Operations,Other,DevOps Engineer,mnc,166727,private,58
32,M.Tech,Operations,Male,Database Admin,mnc,171910,private,52
10,M.Tech,Marketing,Female,HR Manager,mnc,110353,private,33
1,M.Tech,Operations,Male,ML Engineer,govt_company,56145,government,24
27,Unknown,R&D,Male,Business Analyst,pvt_company,100351,private,51
36,B.Tech,Marketing,Male,Data Analyst,startup,136553,startup,56
27,M.Sc,HR,Female,System Engineer,pvt_company,100885,private,54
14,M.Tech,IT,Male,System Engineer,startup,132600,startup,38
1,B.Tech,Operations,Male,HR Manager,mnc,91978,private,25
17,M.Tech,R&D,Male,Data Analyst,startup,196519,startup,43
18,B.Tech,IT,Male,HR Manager,consultancy,133192,private,45
24,B.Tech,HR,Male,Software Developer,pvt_company,112851,private,49
7,Unknown,Finance,Male,System Engineer,pvt_company,65691,private,33
11,MBA,Sales,Male,Network Engineer,mnc,99788,private,34
26,MBA,Sales,Female,Business Analyst,consultancy,133168,private,49
1,B.Tech,IT,Female,Software Developer,mnc,67230,private,22
25,M.Tech,HR,Male,ML Engineer,startup,101062,startup,48
25,B.Tech,HR,Male,Project Manager,pvt_company,170351,private,47
7,B.Tech,Support,Other,Data Analyst,startup,118824,startup,30
0,B.Tech,Finance,Female,UI/UX Designer,consultancy,51905,private,24
7,M.Sc,Sales,Female,QA Tester,startup,63892,startup,32
17,MBA,Finance,Female,Business Analyst,startup,137219,startup,40
31,B.Tech,R&D,Female,QA Tester,startup,101166,startup,55
28,B.Sc,Marketing,Male,Product Manager,pvt_company,164843,private,55
38,M.Sc,Finance,Other,QA Tester,pvt_company,127783,private,59
21,B.Tech,HR,Male,QA Tester,pvt_company,127273,private,42
16,MBA,Operations,Female,Product Manager,startup,115620,startup,39
6,M.Tech,Support,Male,QA Tester,govt_company,54996,government,28
35,MBA,Marketing,Male,ML Engineer,pvt_company,174650,private,55
33,B.Tech,Sales,Female,ML Engineer,pvt_company,156031,private,54
0,MBA,Sales,Female,Data Analyst,startup,84710,startup,21
37,M.Sc,Sales,Other,HR Manager,startup,85074,startup,57
29,B.Sc,Marketing,Female,HR Manager,consultancy,173999,private,55
16,M.Tech,Support,Female,Software Developer,startup,66041,startup,40
12,B.Tech,Finance,Male,Project Manager,pvt_company,123277,private,36
7,B.Tech,Finance,Female,Project Manager,mnc,124062,private,31
7,B.Sc,Finance,Female,Product Manager,pvt_company,107668,private,31
7,B.Tech,Sales,Female,Data Analyst,startup,113094,startup,30
33,M.Sc,Support,Male,HR Manager,pvt_company,140136,private,57
39,Diploma,Support,Female,Network Engineer,mnc,213557,private,59
3,M.Tech,Support,Female,Product Manager,startup,82322,startup,27
14,MBA,Operations,Female,HR Manager,startup,71862,startup,36
28,Diploma,HR,Male,Project Manager,pvt_company,130885,private,53
35,B.Tech,Finance,Female,Database Admin,consultancy,159341,private,59
0,M.Sc,Marketing,Female,ML Engineer,pvt_company,70835,private,24
14,B.Tech,R&D,Female,Network Engineer,startup,118011,startup,38
8,B.Tech,HR,Male,QA Tester,consultancy,59006,private,33
15,B.Sc,Operations,Male,Data Analyst,pvt_company,118882,private,41
26,B.Tech,HR,Male,DevOps Engineer,mnc,132829,private,50
24,M.Sc,HR,Male,DevOps Engineer,pvt_company,134657,private,47
9,MBA,Marketing,Female,DevOps Engineer,startup,64659,startup,33
5,B.Tech,Sales,Male,Data Analyst,pvt_company,80122,private,30
32,B.Tech,Sales,Female,Product Manager,pvt_company,207263,private,54
32,B.Sc,HR,Female,System Engineer,pvt_company,183383,private,55
15,M.Sc,Operations,Female,HR Manager,mnc,132174,private,38
12,B.Tech,HR,Female,ML Engineer,govt_company,61282,government,37
2,M.Tech,Operations,Other,Network Engineer,pvt_company,78085,private,27
6,MBA,Finance,Male,Software Developer,govt_company,52882,government,28
19,M.Tech,Finance,Female,DevOps Engineer,consultancy,130069,private,43
8,MBA,Support,Male,Network Engineer,consultancy,95715,private,35
16,B.Tech,Operations,Male,Network Engineer,startup,158671,startup,42
6,Diploma,R&D,Male,DevOps Engineer,startup,67770,startup,29
21,B.Sc,IT,Male,UI/UX Designer,consultancy,92063,private,44
29,M.Sc,R&D,Female,Database Admin,mnc,155415,private,52
33,B.Sc,IT,Male,UI/UX Designer,startup,124288,startup,57
9,B.Tech,Finance,Female,UI/UX Designer,pvt_company,94248,private,29
16,M.Tech,IT,Female,DevOps Engineer,mnc,112447,private,39
34,Diploma,Support,Female,Data Analyst,startup,258532,startup,58
27,M.Sc,Operations,Female,Business Analyst,pvt_company,116842,private,51
10,B.Tech,R&D,Female,Database Admin,pvt_company,93367,private,37
35,Unknown,R&D,Female,System Engineer,startup,126797,startup,58
25,B.Tech,R&D,Male,Data Analyst,consultancy,146368,private,49
30,B.Tech,Support,Female,DevOps Engineer,startup,15000,startup,53
2,M.Tech,Operations,Female,System Engineer,mnc,89383,private,23
12,B.Tech,Marketing,Female,HR Manager,consultancy,120515,private,38
12,PhD,Finance,Male,HR Manager,pvt_company,104479,private,36
9,B.Sc,R&D,Female,UI/UX Designer,govt_company,61506,government,35
16,M.Tech,IT,Female,HR Manager,pvt_company,114641,private,39
35,B.Sc,Sales,Male,ML Engineer,govt_company,127248,government,57
15,MBA,HR,Female,Project Manager,consultancy,127136,private,40
12,MBA,R&D,Female,Product Manager,pvt_company,134442,private,34
31,MBA,Sales,Female,Software Developer,startup,153691,startup,56
28,M.Sc,Marketing,Male,DevOps Engineer,govt_company,95011,government,51
5,M.Sc,IT,Male,Database Admin,pvt_company,108844,private,27
4,B.Tech,Finance,Female,ML Engineer,pvt_company,84236,private,27
24,B.Tech,Sales,Other,QA Tester,startup,124646,startup,50
27,B.Sc,R&D,Male,QA Tester,mnc,101157,private,50
